MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
14147511000006111,8000,^ESCT1414751,,Alcoholic beverage intake,897148007,4032656012,,17
13929361000006112,200000,^ESCT1392936,,Alcohol detoxification,827094004,3873802018,,32
8461501000006110,7000,^ESCTAS846150,,Assessment using AUDIT-C (Alcohol Use Disorders Identification Test - Consumption),1.08E+15,2.72E+15,,32
8458781000006110,20000,^ESCTAL845878,,Alcohol units consumed per day,1.08E+15,2.71E+15,,17
6947461000006115,10000,^ESCTAL694746,,Alcoholic cirrhosis,420054005,2576981019,,32
6769921000006111,30000,^ESCTAL676992,,Alcohol abuse prevention education,408947007,2470785017,,17
5547231000006118,6000,^ESCTAU554723,,AUDIT - Alcohol use disorders identification test,273265007,408549018,,32
4987161000006113,8000,^ESCTAL498716,,alcohol units/week,228958009,343212011,,31
4533141000006118,1000000,^ESCTAL453314,,Alcohol intake,160573003,250307017,,17
2367071000000110,10000,8IH4,8IH4.00,Alcohol Use Disorders Identification Test declined,9.22E+14,2.37E+15,,32
1899521000006115,2000000,EMISNQAU130,,AUDIT-C score - units of alcohol drunk on a typical day,1.90E+15,1.90E+15,,3
1899511000006111,2000000,EMISNQAU129,,AUDIT-C score - frequency of drinking alcohol,1.90E+15,1.90E+15,,3
1899461000006113,300000,EMISNQAU124,,AUDIT score - freq needs morning alcoholic drink in last year,1.90E+15,1.90E+15,,3
1899421000006119,300000,EMISNQAU120,,AUDIT score - units of alcohol drunk on a typical day,1.90E+15,1.90E+15,,3
1899411000006110,300000,EMISNQAU119,,AUDIT score - frequency of drinking alcohol,1.90E+15,1.90E+15,,3
1879891000006111,10000,EMISNQNO107,,Non-alcoholic fatty liver disease (NAFLD) fibrosis score,1.88E+15,1.88E+15,,3
1754191000006119,6000,8IAt,8IAt.00,Extended intervention for excessive alcohol consumption declined,7.55E+14,1.66E+15,,32
1868141000006110,10000,8IEA,8IEA.00,Referral to community alcohol team declined,7.81E+14,1.75E+15,,32
1724531000000116,6000,8CAM0,8CAM000,Advised to abstain from alcohol consumption,704106009,3010632015,,32
1704281000006117,30000,8IAF,8IAF.00,Brief intervention for excessive alcohol consumption declined,3.79E+14,7.47E+14,,32
1680131000006113,50000,9k1B,9k1B.00,Extended intervention for excessive alcohol consumption completed,3.66E+14,6.92E+14,,37
1680121000006110,800000,9k1A,9k1A.00,Brief intervention for excessive alcohol consumption completed,3.66E+14,6.92E+14,,37
1680101000006117,20000,9k19,9k19.00,Alcohol assesment declined - enhanced services admin,3.62E+14,6.82E+14,,37
1660411000006112,10000000,38D4,38D4.00,AUDIT-C (Alcohol Use Disorders Identification Test - Consumption) score,763256006,3638304015,,3
1659811000006114,9000,38D5,38D5.00,Alcohol Use Disorders Identification Test - Piccinelli Consumption score,1.09E+15,2.73E+15,,3
1590911000006113,70000,9k18,9k18.00,Alcohol screen - alcohol use disorder identification test Piccinelli consumption questions completed,2.86E+14,4.94E+14,,37
1590901000006110,3000000,9k17,9k17.00,Alcohol screen - alcohol use disorder identification test consumption questions completed,2.85E+14,4.93E+14,,37
1590881000006113,700000,9k15,9k15.00,Alcohol screen - alcohol use disorder identification test completed,2.85E+14,4.93E+14,,37
961571000006111,10000,EMISCAB16,,Excessive use of alcohol,9.62E+14,9.62E+14,,27
936001000006111,900000,67H0,67H0.00,Advice relating to alcohol consumption,281078001,2575919017,,17
854651000006117,10000,EGTON59,,Alcohol overdose,8.55E+14,8.55E+14,,32
852411000006113,6000,EMISQTH4,,Thinking about reducing alcohol,8.52E+14,8.52E+14,,17
852391000006113,10000,EMISQNO6,,Not interested in reducing alcohol,8.52E+14,8.52E+14,,17
852161000006115,10000,EMISQAU3,,AUDIT score >5 alcohol problem drinker,8.52E+14,8.52E+14,,17
851471000006110,60000,EMISQAL1,,Alcohol AUDIT score,8.51E+14,8.51E+14,,17
831091000006115,7000,EMISQRE1,,Referral to alcohol abuse team,8.31E+14,8.31E+14,,40
817981000006115,6000000,6792,6792,Health education - alcohol,408947007,2579616015,,17
769451000006111,100000,E250-4,E250.14,Intoxication - alcohol,25702006,43083015,,32
753331000006118,8000,E0110,E011000,Korsakov alcoholic psychosis,69482004,501296014,,32
1176421000000118,20000,8IAJ,8IAJ.00,Declined referral to specialist alcohol treatment service,3.81E+14,7.51E+14,,32
681741000000116,20000,9k19-1,9k19.11,Alcohol assessment declined,3.62E+14,6.82E+14,,37
622961000000116,30000,8HkG,8HkG.00,Referral to specialist alcohol treatment service,431260004,2768649019,,40
622791000000112,20000,38D2,38D2.00,Single alcohol screening questionnaire,3.36E+14,6.23E+14,,3
606991000000117,50000,136W,136W.00,Alcohol misuse,15167005,6.07E+14,,32
556651000000116,1000000,136V,136V.00,Alcohol units consumed per week,1.08E+15,2.71E+15,,17
538891000000111,3000000,388u,388u.00,FAST (Fast Alcohol Screening Test) score,1.08E+15,2.72E+15,,3
492591000000114,800000,9k16,9k16.00,Alcohol screen - fast alcohol screening test completed,2.85E+14,4.93E+14,,37
476611000006116,100000,J612,J612.00,Alcoholic cirrhosis of liver,420054005,2920441014,,32
476421000006114,90000,6892,6892,Alcohol consumption screen,171208001,265301016,,1
476411000006118,700000,136Z,136Z.00,Alcohol consumption NOS,160573003,1221271018,,17
405461000000114,10000,6.60E+01,66e0.00,Alcohol abuse monitoring,2.48E+14,4.05E+14,,1
397881000006114,10000,Eu101,Eu10100,Alcohol abuse,15167005,25750014,,32
397801000006117,9000,Eu102,Eu10200,[X]Mental and behav dis due to use alcohol: dependence syndr,66590003,500478011,,32
362921000006118,10000,Eu102-1,Eu10211,[X]Alcohol addiction,66590003,500478011,,32
362251000006117,30000,Eu100-1,Eu10011,Alcohol intoxication,25702006,43081018,,32
315091000000117,20000,Eu108,Eu10800,Alcohol withdrawal-induced seizure,308742005,452061016,,32
299081000000114,70000,136T,136T.00,Harmful alcohol use,1.98E+14,2.99E+14,,17
299061000000117,100000,136S,136S.00,Hazardous alcohol use,1.98E+14,2.99E+14,,17
240741000006114,8000000,8CAM,8CAM.00,Education about alcohol consumption,281078001,2871969016,,17
236441000000113,100000,9k1,9k1..00,Alcohol misuse enhanced services administration,1.66E+14,1.15E+15,,37
226571000000116,70000,9k12,9k12.00,Alcohol misuse enhanced service completed,1.66E+14,1.15E+15,,37
221111000000114,10000,J615,J615.00,Cirrhosis - non-alcoholic,266468003,396389015,,32
2819666013,8000,J61y8,J61y800,Nonalcoholic steatohepatitis,442685003,2819666013,,32
2692396019,60000,8IA7,8IA7.00,Alcohol consumption screening test declined,428073005,2692396019,,32
2549646014,50000,8HHe,8HHe.00,Referral to community drug and alcohol team,417096006,2549646014,,40
2532939017,50000,9k11,9k11.00,Alcohol consumption counselling,413473000,2532939017,,37
2532935011,200000,9k13,9k13.00,Alcohol questionnaire completed,413475007,2532935011,,37
2474678017,10000,66e,66e..00,Alcohol disorder monitoring,413130000,2474678017,,1
