MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2883049010	2000	F213	F213.00	Clinically isolated syndrome	445967004	2883049010	32
297181019	20000	F20z	F20z.00	Multiple sclerosis NOS	24700007	41398015	32
2674605012	3000	F208	F208.00	Secondary progressive multiple sclerosis	425500002	2674605012	32
1682241000006111	10000	F207	F207.00	Relapsing remitting multiple sclerosis	426373005	2674690012	32
2692565012	3000	F206	F206.00	Primary progressive multiple sclerosis	428700003	2692565012	32
641301000000114	8	F205	F205.00	Malignant multiple sclerosis	439567002	2794465010	32
641211000000118	300	F204	F204.00	Benign multiple sclerosis	438511000	2791037019	32
297180018	7000	F203	F203.00	Exacerbation of multiple sclerosis	192929006	297180018	32
297179016	2000	F202	F202.00	Generalised multiple sclerosis	192928003	297179016	32
297177019	700	F201	F201.00	Multiple sclerosis of the spinal cord	192927008	297177019	32
695191000006119	300	F200	F200.00	Multiple sclerosis of the brain stem	192926004	297176011	32
41398015	700000	F20	F20..00	Multiple sclerosis	24700007	41398015	32
344996014	50	F0370	F037000	Varicella transverse myelitis	230198004	344996014	32
28148010	10000	F037	F037.00	Transverse myelitis	16631009	28148010	32
1675051000000110	50	9mD3	9mD3.00	Multiple sclerosis monitoring third letter	759171000000105	1675051000000110	37
1674971000000118	60	9mD2	9mD2.00	Multiple sclerosis monitoring telephone invitation	759131000000108	1674971000000118	37
1674661000000118	100	9mD1	9mD1.00	Multiple sclerosis monitoring second letter	759091000000105	1674661000000118	37
1674381000000115	500	9mD0	9mD0.00	Multiple sclerosis monitoring first letter	759051000000102	1674381000000115	37
1674121000000119	200	9mD	9mD..00	Multiple sclerosis monitoring administration	758981000000100	1674121000000119	37
979461000006111	700	9kG	9kG..00	Specialised services for patients with multiple sclerosis enhanced services administration	166411000000100	1154041000000111	37
1148911000000119	100	8IAb	8IAb.00	Multiple sclerosis review declined	515931000000104	1148911000000119	32
1757431000000113	1000	8Hkv	8Hkv.00	Referral to community multiple sclerosis team	785851000000104	1757431000000113	40
300141000000119	500	8CS1	8CS1.00	Multiple sclerosis care plan agreed	811881000000109	2117681000000111	32
699911000000117	20	8Cc4	8Cc4.00	Management of multiple sclerosis in palliative phase	367681000000102	699911000000117	32
1679791000006113	100	8Cc3	8Cc3.00	Management of multiple sclerosis in progressive disability phase	367651000000108	699851000000111	32
699791000000111	60	8Cc2	8Cc2.00	Management of multiple sclerosis in stable disability phase	367621000000103	699791000000111	32
699731000000110	40	8Cc1	8Cc1.00	Management of multiple sclerosis in early disease phase	367591000000101	699731000000110	32
699671000000115	9	8Cc0	8Cc0.00	Management of multiple sclerosis in onset phase	367561000000107	699671000000115	32
315671000000110	700	666B	666B.00	Multiple sclerosis multidisciplinary review	205631000000104	315671000000110	1
299241000000110	8000	666A	666A.00	Multiple sclerosis review	198491000000106	299241000000110	1
2262931000000117	2000	1JA3	1JA3.00	Suspected multiple sclerosis	700409000	2990489013	27
908811000006112	20000	HNG0603		[RFC] Multiple sclerosis	908811000006108	908811000006112	12
905781000006118	30	HNG0052		[RFC] Multiple sclerosis	905781000006102	905781000006118	12
1858501000006114	8	EMISNQSU61		Suspected multiple sclerosis	1858501000006105	1858501000006114	27
1863341000006118	90	EMISNQRE383		Referral by Multiple Sclerosis nurse specialist	1863341000006102	1863341000006118	37
983261000006119	100	EMISNQMU8		Multiple sclerosis - personal health plan	983261000006103	983261000006119	32
1855101000006113	20	EMISNQMU33		Multiple sclerosis questionnaire completed	1855101000006109	1855101000006113	3
1747861000006111	4	EMISNQMU24		Multiple sclerosis monitoring telephone invite	1747861000006107	1747861000006111	37
1747851000006114	4	EMISNQMU23		Multiple sclerosis monitoring third letter	1747851000006105	1747851000006114	37
1747831000006119	30	EMISNQMU21		Multiple sclerosis monitoring first letter	1747831000006103	1747831000006119	37
1747821000006117	30	EMISNQMU20		Multiple sclerosis monitoring administration	1747821000006101	1747821000006117	37
983311000006114	10000	EMISNQMU13		Multiple sclerosis - relapsing remitting	983311000006105	983311000006114	32
983301000006111	2000	EMISNQMU12		Multiple sclerosis - secondary progressive	983301000006107	983301000006111	32
983291000006110	4000	EMISNQMU11		Multiple sclerosis - primary progressive	983291000006106	983291000006110	32
854741000006113	500	EGTON437		Possible MS	854741000006109	854741000006113	32
5006921000006118	2	^ESCTRE500692		Remittent-progressive multiple sclerosis	230374002	345212013	31
7861151000006116	1	^ESCTPR786115		Progressive relapsing multiple sclerosis	724778008	3445731014	31
7567771000006118	50	^ESCTMU756777		Multiple sclerosis clinic	702885009	3006458011	31
7092351000006112	2	^ESCTMU709235		Multiple sclerosis (MS) primary progressive	428700003	2966655015	32
7058051000006116	7	^ESCTMU705805		Multiple sclerosis (MS) relapsing remitting	426373005	2966693013	32
7045281000006112	1	^ESCTMU704528		Multiple sclerosis (MS) secondary progressive	425500002	2966702017	32
5006911000006114	3	^ESCTMU500691		Multiple sclerosis (MS) chronic/progressive	230373008	2966703010	31
4769281000006110	20	^ESCTMU476928		Multiple sclerosis of the brainstem	192926004	297176011	32
2894411000006110	9	^ESCTMS289441		MS - Multiple sclerosis	24700007	1223980016	32
5552111000006118	20	^ESCTKU555211		Kurtzke multiple sclerosis rating scale	273554001	409037016	31
7510741000006111	1	^ESCTDE751074		Dementia associated with multiple sclerosis	698626001	2974926012	32
5006901000006111	5	^ESCTCH500690		Chronic progressive multiple sclerosis	230373008	345211018	31
5006891000006112	10	^ESCTAC500689		Acute relapsing multiple sclerosis	230372003	345210017	31
110903014	40000	F4H3	F4H3.00	Optic neuritis	66760008	110903014	32
298753017	2000	F4H3z	F4H3z00	Optic neuritis NOS	66760008	110903014	32
298751015	3000	F4H30	F4H3000	Unspecified optic neuritis	66760008	110903014	32
91711000006118	10000	F03-3	F03..13	Transverse myelitis	16631009	28148010	32
297182014	7000	F21	F21..00	Other central nervous system demyelinating diseases	6118003	11161017	32
41961013	3000	F210	F210.00	Neuromyelitis optica	25044007	41961013	32
41962018	1000	F210-1	F210.11	Devic's disease	25044007	41962018	32
82759010	50	F211	F211.00	Schilder's disease	49692006	82759010	32
2475876012	20	F211-1	F211.11	Balo's concentric sclerosis	230380005	345223012	32
456401000006118	1000	F21X	F21X.00	Acute disseminated demyelination, unspecified	6118003	11161017	32
297190014	500	F21y	F21y.00	Other specified central nervous system demyelinating disease	6118003	11161017	32
1480894012	70	F21y0	F21y000	Marchiafava-Bignami disease	386766007	1480894012	32
12276017	1000	F21y1	F21y100	Central pontine myelinolysis	6807001	12275018	32
1491762016	100	F21y3	F21y300	Central demyelination of corpus callosum	386766007	1491762016	32
345221014	40	F21y4	F21y400	Subacute necrotising myelitis	230379007	345220010	32
345223012	20	F21y5	F21y500	Concentric sclerosis	230380005	345223012	32
1648061000000115	90	F21y6	F21y600	Vanishing white matter disease	447351004	2883499019	32
297195016	900	F21yz	F21yz00	Other specified central nervous system demyelination NOS	6118003	11161017	32
297196015	10000	F21z	F21z.00	Demyelinating disease of central nervous system	6118003	11161017	32
883011000006117	400	F21z-99	F21z.99	Benign Demyelinating Disease	584941000000106	883011000006117	32
68321016	30000	F3700	F370000	Guillain-Barre syndrome	40956001	68321016	32
207847010	5000	F370	F370.00	Acute infective polyneuritis	129131007	207847010	32
297539017	100	F370z	F370z00	Acute infective polyneuritis NOS	129131007	207847010	32
478396017	2000	F3702	F370200	Miller-Fisher syndrome	1767005	478396017	32
211331000006117	200	F3701	F370100	Postinfectious polyneuritis	193174005	297537015	32
5552141000006119	9	^ESCTED555214		EDSS - Expanded disability status scale	273554001	409040016	31
