MedCodeId,OriginalReadCode,CleansedReadCode,Term
19773013,9Na,9Na..00,Consultation
29982014,H03,H03..00,Acute tonsillitis
51268016,42J,42J..00,Neutrophil count
51875014,1M10,1M10.00,Knee pain
64168014,G2,G2...00,Hypertensive disease
70669012,42L,42L..00,Basophil count
99042012,G20,G20..00,Essential hypertension
102928018,42P,42P..00,Platelet count
112567012,42N,42N..00,Monocyte count
119575019,42K,42K..00,Eosinophil count
124165010,42M,42M..00,Lymphocyte count
133205018,451F,451F.00,Glomerular filtration rate
142934010,65E,65E..00,Influenza vaccination
185189016,46U,46U..00,Urine culture
197761014,C10F,C10F.00,Type 2 diabetes mellitus
216602012,44CS,44CS.00,Serum CRP (C reactive protein) level
250207019,133F,133F.00,Marital state unknown
257472014,42QE,42QE.00,International normalised ratio
258906017,44E,44E..00,Serum bilirubin level
259037014,44IC,44IC.00,Corrected serum calcium level
259232010,44P5,44P5.00,Serum high density lipoprotein cholesterol level
259233017,44P6,44P6.00,Serum low density lipoprotein cholesterol level
259250015,44PF,44PF.00,Total cholesterol:HDL (high density lipoprotein) ratio
259518014,44Z2,44Z2.00,Bone profile
259598013,44g1,44g1.00,Plasma fasting glucose level
261124014,4I16,4I16.00,"Microscopy, culture and sensitivities"
264534013,663H,663H.00,Inhaler technique - good
265380017,68N5,68N5.00,Full consent for immunisation
265637019,6A,6A...00,Patient review
278130018,44M4,44M4.00,Serum albumin level
282155011,81H,81H..00,Dressing of wound
282653015,8B314,8B31400,Medication review
282730013,8B3H,8B3H.00,Medication requested
283022014,8CB,8CB..00,Had a chat to patient
283512014,8H,8H...00,Referral for further care
283646018,8H54,8H54.00,Orthopaedic referral
283803018,8HE,8HE..00,Discharged from hospital
284446019,44I5,44I5.00,Serum sodium level
285185014,9N11,9N11.00,Seen in GP's surgery
285194015,9N19,9N19.00,Seen in hospital casualty
285214011,9N1K,9N1K.00,Seen in ophthalmology clinic
285252012,9N1p,9N1p.00,Seen in orthopaedic clinic
285327012,9N31,9N31.00,Telephone encounter
285338012,9N4,9N4..00,Failed encounter
285358013,9N4F,9N4F.00,Failed encounter - message left on answer machine
301485011,H33,H33..00,Asthma
373708010,44HB,44HB.00,Serum aspartate aminotransferase level
375550011,44JB,44JB.00,Urea and electrolytes level
380389013,44J3,44J3.00,Serum creatinine level
396089010,H05z,H05z.00,Upper respiratory infection NOS
405040010,9N1S,9N1S.00,Seen in dermatology clinic
405043012,9N36,9N36.00,Letter from specialist
405044018,9N42,9N42.00,Did not attend - no reason
405410017,42ZD,42ZD.00,Large unstained cells
409688019,44J9,44J9.00,Serum urea level
411633013,9N36-1,9N36.11,Letter from consultant
