MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,ethnicity
285954016,9S6,9S6..00,Indian,414481008,2533844017,22,Asian
285955015,9S7,9S7..00,Pakistani,186002003,285955015,22,Asian
285956019,9S8,9S8..00,Bangladeshi,186003008,285956019,22,Asian
285976013,9SA7,9SA7.00,Indian sub-continent (NMO),186012005,285976013,22,Asian
285977016,9SA8,9SA8.00,Other Asian (NMO),186013000,285977016,22,Asian
286018012,9T1B,9T1B.00,South East Asian,186044009,286018012,22,Mixed/Other
286020010,9T1E,9T1E.00,Asian - ethnic group,315280000,459783012,22,Asian
405069018,9SA6,9SA6.00,E Afric Asian/Indo-Carib (NMO),270465005,405069018,22,Mixed/Other
411583012,9SA6-1,9SA6.11,East African Asian (NMO),275596000,411583012,22,Mixed/Other
411584018,9SA6-2,9SA6.12,Indo-Caribbean (NMO),275597009,411584018,22,Mixed/Other
459784018,9SH,9SH..00,Other Asian ethnic group,315281001,459784018,22,Asian
781081000006113,9T1D,9T1D.00,Indian,414481008,2533844017,22,Asian
1572831000000110,9T9,9T9..00,Nepali,7.18E+14,1.57E+15,22,Asian
1968131000006112,9t08,9t08.00,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Asian
1968141000006119,9t09,9t09.00,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Asian
1968151000006117,9t0A,9t0A.00,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Asian
1968171000006110,9t0C,9t0C.00,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Asian
1968301000006118,9t16,9t16.00,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Asian
1968311000006115,9t17,9t17.00,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Asian
1968321000006111,9t18,9t18.00,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Asian
1968341000006116,9t1A,9t1A.00,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Asian
1968481000006118,9t27,9t27.00,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Asian
1968491000006115,9t28,9t28.00,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Asian
1968501000006111,9t29,9t29.00,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Asian
1968521000006118,9t2B,9t2B.00,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Asian
136081000000111,9iA4,9iA4.00,Sri Lankan - ethnic category 2001 census,8.65E+13,1.36E+14,22,Asian
141361000000114,9i8,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,9.25E+13,1.41E+14,22,Asian
141381000000117,9iA,9iA..00,Other Asian background - ethnic category 2001 census,9.25E+13,1.41E+14,22,Asian
141511000000116,9iA9,9iA9.00,Mixed Asian - ethnic category 2001 census,9.26E+13,1.42E+14,22,Asian
141521000000110,9iA1,9iA1.00,Punjabi - ethnic category 2001 census,9.26E+13,1.42E+14,22,Asian
141531000000112,9iA2,9iA2.00,Kashmiri - ethnic category 2001 census,9.27E+13,1.42E+14,22,Mixed/Other
141541000000115,9iA3,9iA3.00,East African Asian - ethnic category 2001 census,9.27E+13,1.42E+14,22,Asian
141551000000117,9iA5,9iA5.00,Tamil - ethnic category 2001 census,9.27E+13,1.42E+14,22,Asian
141561000000119,9iA8,9iA8.00,British Asian - ethnic category 2001 census,9.27E+13,1.42E+14,22,Asian
141571000000114,9iA7,9iA7.00,Caribbean Asian - ethnic category 2001 census,9.27E+13,1.42E+14,22,Asian
157271000000119,9i7,9i7..00,Indian or British Indian - ethnic category 2001 census,1.11E+14,1.57E+14,22,Asian
157301000000116,9iA6,9iA6.00,Sinhalese - ethnic category 2001 census,1.11E+14,1.57E+14,22,Asian
937541000006115,9i9,9i9..00,Bangladeshi or British Bangladeshi - ethnic category 2001 census,9.25E+13,1.41E+14,22,Asian
937651000006117,9iAA,9iAA.00,Other Asian or Asian unspecified - ethnic category 2001 census,9.27E+13,1.42E+14,22,Asian
30683015,9S3,9S3..00,Black African,18167009,30683015,22,Black
285930014,9S42-1,9S42.11,Black Caribbean,185988007,285930014,22,Black
285931013,9S4,9S4..00,"Black, other, non-mixed origin",185989004,285931013,22,Black
285932018,9S41,9S41.00,Black British,185990008,285932018,22,Black
285943014,9S44,9S44.00,Black - other African country,185993005,285943014,22,Black
285948017,9S46,9S46.00,Black Indian sub-continent,185995003,285948017,22,Black
285949013,9S47,9S47.00,Black - other Asian,185996002,285949013,22,Black
285950013,9S48,9S48.00,Black Black - other,185989004,285931013,22,Black
285951012,9S5,9S5..00,"Black - other, mixed",185998001,285951012,22,Black
285971015,9SA5,9SA5.00,Other African countries (NMO),186010002,285971015,22,Black
405064011,9S42,9S42.00,Black Caribbean/W.I./Guyana,270460000,405064011,22,Black
405065012,9S43,9S43.00,Black N African/Arab/Iranian,270461001,405065012,22,Black
405067016,9SA3,9SA3.00,Caribbean I./W.I./Guyana (NMO),270463003,405067016,22,Black
411573013,9S43-1,9S43.11,Black North African,275586009,411573013,22,Black
411574019,9S43-2,9S43.12,Black Arab,275587000,411574019,22,Black
411575018,9S43-3,9S43.13,Black Iranian,275588005,411575018,22,Black
411576017,9S45-1,9S45.11,Black East African Asian,275589002,411576017,22,Black
411577014,9S45-2,9S45.12,Black Indo-Caribbean,275590006,411577014,22,Black
411578016,9SA3-1,9SA3.11,Caribbean Island (NMO),275591005,411578016,22,Black
411579012,9SA3-2,9SA3.12,West Indian (NMO),275592003,411579012,22,Black
411580010,9SA3-3,9SA3.13,Guyana (NMO),275593008,411580010,22,Black
453109012,9S42-2,9S42.12,Black West Indian,309643000,453109012,22,Black
453110019,9S42-3,9S42.13,Black Guyana,309644006,453110019,22,Black
459782019,9SG,9SG..00,Other black ethnic group,315279003,459782019,22,Black
514611000006111,9S2,9S2..00,Black Caribbean,185988007,285930014,22,Black
514651000006112,9S45,9S45.00,Black East African Asian/Indo-Caribbean,270462008,405066013,22,Black
1968181000006113,9t0D,9t0D.00,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Black
1968191000006111,9t0E,9t0E.00,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Black
1968201000006114,9t0F,9t0F.00,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Black
286018012,9t1B,9t1B.00,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Black
550541000006110,9t1C,9t1C.00,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Black
781081000006113,9t1D,9t1D.00,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Black
