MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
1008891000006114,30,ASDFGCO1,,Coshh Solvents,1.01E+15,1.01E+15,,37
987571000006118,3,HMPNQDR6,,Drugs used within the past month - Solvents,9.88E+14,9.88E+14,,28
969751000006111,400,EMISNQMI90,,Misuse of Solvents unspecified,9.70E+14,9.70E+14,,17
968751000006118,500,EMISNQND11,,Substance misuse of Solvents,9.69E+14,9.69E+14,,17
899451000006111,90,SM2-99,SM2..99,Toxic effects - solvents,7.05E+14,8.99E+14,,32
889211000006110,100,M122-99,M122.99,Contact dermatitis : solvents,23012005,8.89E+14,,15
512621000000115,10,1T92,1T92.00,H/O infrequent solvent misuse,2.79E+14,5.13E+14,,27
512611000000114,6,1T91,1T91.00,H/O weekly solvent misuse,2.79E+14,5.13E+14,,27
512601000000112,40,1T90,1T90.00,H/O daily solvent misuse,2.79E+14,5.13E+14,,27
512171000000114,800,1T9,1T9..00,H/O solvent misuse,2.77E+14,5.12E+14,,27
478471000000116,200,1T93,1T93.00,Previous history of solvent misuse,2.79E+14,4.78E+14,,27
422081000006119,20,U40A,U40A.00,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent",241769004,361966013,,32
421661000006113,2,U40A0,U40A000,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence at home, undetermined intent",241769004,361966013,,32
421201000006114,1,U40A5,U40A500,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence at trade and service area, undetermined intent",241769004,361966013,,32
421191000006111,3,U40A3,U40A300,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, halogens, occurrence at sports and athletics area, undetermined intent",241769004,361966013,,32
421181000006113,1,U40A1,U40A100,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence in residential institution, undetermined intent",241769004,361966013,,32
421171000006110,1,U40A7,U40A700,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence on farm, undetermined intent",241769004,361966013,,32
421161000006115,1,U40A4,U40A400,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence on street and highway, undetermined intent",241769004,361966013,,32
421151000006117,1,U40A2,U40A200,"[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence at school, other institution and public administrative area, undetermined intent",241769004,361966013,,32
